r\IA,0,1,2,3,4,5,6,7,8,9,10
20,,,5,5,6,6,7,8,8,10,13
19,,,4,5,5,6,6,7,8,9,13
18,,,4,4,5,6,6,7,8,9,12
17,,,4,4,5,5,6,6,7,8,12
16,,,3,4,4,5,5,6,7,8,11
15,,,3,3,4,4,5,5,6,7,10
14,,,3,3,4,4,5,5,6,7,10
13,,,3,3,3,4,4,5,5,6,9
12,,,3,3,3,3,4,4,5,6,9
11,,,3,3,3,3,3,4,4,5,8
10,,,2,2,3,3,3,3,4,5,7
9,,,2,2,2,2,3,3,3,4,6
8,,,2,2,2,2,2,3,3,4,6
7,,,2,2,2,2,2,2,3,3,5
6,,,2,2,2,2,2,2,2,3,4
5,,,2,2,2,2,1,2,2,2,3
4,,1,1,1,1,1,1,1,1,1,2
3,,1,1,1,1,1,1,1,1,1,1
2,,1,1,1,1,1,1,1,1,1,1
1,,2,2,2,2,2,2,2,2,2,3

