r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
200,2.0,-1.0,451,200,0,42,0
199,1.99,-1.0,451,200,0,42,0
198,1.98,-1.0,451,200,0,43,0
197,1.97,-1.0,451,200,0,44,0
196,1.96,-1.0,451,200,0,45,0
195,1.95,-1.0,451,200,0,45,0
194,1.94,-1.0,451,200,0,46,0
193,1.93,-1.0,451,200,0,46,0
192,1.92,-1.0,451,200,0,45,0
191,1.9100000000000001,-1.0,451,200,0,46,0
190,1.9000000000000001,-1.0,451,200,0,47,0
189,1.8900000000000001,-1.0,451,200,0,48,0
188,1.8800000000000001,-1.0,451,200,0,48,0
187,1.87,-1.0,451,200,0,49,0
186,1.86,-1.0,451,200,0,50,0
185,1.85,-1.0,451,200,0,50,0
184,1.84,-1.0,451,200,0,50,0
183,1.83,-1.0,451,200,0,50,0
182,1.82,-1.0,451,200,0,51,0
181,1.81,-1.0,451,200,0,51,0
180,1.8,-1.0,451,200,0,51,0
179,1.79,-1.0,451,200,0,53,0
178,1.78,-1.0,451,200,0,54,0
177,1.77,-1.0,451,200,0,53,0
176,1.76,-1.0,451,200,0,53,0
175,1.75,-1.0,451,200,0,54,0
174,1.74,-1.0,451,200,0,54,0
173,1.73,-1.0,451,200,0,55,0
172,1.72,-1.0,451,200,0,54,0
171,1.71,-1.0,451,200,0,56,0
170,1.7,-1.0,451,200,0,57,0
169,1.69,-1.0,451,200,0,56,0
168,1.68,-1.0,451,200,0,56,0
167,1.67,-1.0,451,200,0,56,0
166,1.6600000000000001,-1.0,451,200,0,56,0
165,1.6500000000000001,-1.0,451,200,0,57,0
164,1.6400000000000001,-1.0,451,200,0,57,0
163,1.6300000000000001,-1.0,451,200,0,57,0
162,1.62,-1.0,451,200,0,56,0
161,1.61,-1.0,451,200,0,57,0
160,1.6,-1.0,451,200,0,57,0
159,1.59,-1.0,451,200,0,58,0
158,1.58,-1.0,451,200,0,58,0
157,1.57,-1.0,451,200,0,59,0
156,1.56,-1.0,451,200,0,61,0
155,1.55,-1.0,451,200,0,61,0
154,1.54,-1.0,451,200,0,61,0
153,1.53,-1.0,451,200,0,62,0
152,1.52,-1.0,451,200,0,62,0
151,1.51,-1.0,451,200,0,62,0
150,1.5,-1.0,451,200,0,61,0
149,1.49,-1.0,451,200,0,62,0
148,1.48,-1.0,451,200,0,62,0
147,1.47,-1.0,451,200,0,63,0
146,1.46,-1.0,451,200,0,63,0
145,1.45,-1.0,451,200,0,64,0
144,1.44,-1.0,451,200,0,64,0
143,1.43,-1.0,451,200,0,64,0
142,1.42,-1.0,451,200,0,64,0
141,1.41,-1.0,451,200,0,64,0
140,1.4000000000000001,-1.0,451,200,0,64,0
139,1.3900000000000001,-1.0,451,200,0,65,0
138,1.3800000000000001,-1.0,451,200,0,66,0
137,1.37,-1.0,451,200,0,66,0
136,1.36,-1.0,451,200,0,65,0
135,1.35,-1.0,451,200,0,66,0
134,1.34,-1.0,451,200,0,66,0
133,1.33,-1.0,451,200,0,67,0
132,1.32,-1.0,451,200,0,67,0
131,1.31,-1.0,451,200,0,67,0
130,1.3,-1.0,451,200,0,67,0
129,1.29,-1.0,451,200,0,67,0
128,1.28,-1.0,451,200,0,68,0
127,1.27,-1.0,451,200,0,68,0
126,1.26,-1.0,451,200,0,69,0
125,1.25,-1.0,451,200,0,69,0
124,1.24,-1.0,451,200,0,68,0
123,1.23,-1.0,451,200,0,70,0
122,1.22,-1.0,451,200,0,70,0
121,1.21,-1.0,451,200,0,70,0
120,1.2,-1.0,451,200,0,71,0
119,1.19,-1.0,451,200,0,71,0
118,1.18,-1.0,451,200,0,71,0
117,1.17,-1.0,451,200,0,72,0
116,1.16,-1.0,451,200,0,73,0
115,1.1500000000000001,-1.0,451,200,0,73,0
114,1.1400000000000001,-1.0,451,200,0,73,0
113,1.1300000000000001,-1.0,451,200,0,74,0
112,1.12,-1.0,451,200,0,74,0
111,1.11,-1.0,451,200,0,74,0
110,1.1,-1.0,451,200,0,73,0
109,1.09,-1.0,451,200,0,73,0
108,1.08,-1.0,451,200,0,75,0
107,1.07,-1.0,451,200,0,75,0
106,1.06,-1.0,451,200,0,75,0
105,1.05,-1.0,451,200,0,78,0
104,1.04,-1.0,451,200,0,77,0
103,1.03,-1.0,451,200,0,77,0
102,1.02,-1.0,451,200,0,77,0
101,1.01,-1.0,451,200,0,77,0
100,1.0,-1.0,451,200,0,77,0
99,0.99,-1.0,451,200,0,77,0
98,0.98,-1.0,451,200,0,77,0
97,0.97,-1.0,451,200,0,78,0
96,0.96,-1.0,451,200,0,79,0
95,0.9500000000000001,-1.0,451,200,0,79,0
94,0.9400000000000001,-1.0,451,200,0,80,0
93,0.93,-1.0,451,200,0,81,0
92,0.92,-1.0,451,200,0,81,0
91,0.91,-1.0,451,200,0,81,0
90,0.9,-1.0,451,200,0,81,0
89,0.89,-1.0,451,200,0,82,0
88,0.88,-1.0,451,200,0,83,0
87,0.87,-1.0,451,200,0,83,0
86,0.86,-1.0,451,200,0,83,0
85,0.85,-1.0,451,200,0,83,0
84,0.84,-1.0,451,200,0,83,0
83,0.8300000000000001,-1.0,451,200,0,84,0
82,0.8200000000000001,-1.0,451,200,0,85,0
81,0.81,-1.0,451,200,0,85,0
80,0.8,-1.0,451,200,0,84,0
79,0.79,-1.0,451,200,0,84,0
78,0.78,-1.0,451,200,0,85,0
77,0.77,-1.0,451,200,0,86,0
76,0.76,-1.0,451,200,0,86,0
75,0.75,-1.0,451,200,0,86,0
74,0.74,-1.0,451,200,0,87,0
73,0.73,-1.0,451,200,0,87,0
72,0.72,-1.0,451,200,0,87,0
71,0.71,-1.0,451,200,0,89,0
70,0.7000000000000001,-1.0,451,200,0,89,0
69,0.6900000000000001,-1.0,451,200,0,89,0
68,0.68,-1.0,451,200,0,89,0
67,0.67,-1.0,451,200,0,93,0
66,0.66,-1.0,451,200,0,93,0
65,0.65,-1.0,451,200,0,93,0
64,0.64,-1.0,451,200,0,93,0
63,0.63,-1.0,451,200,0,94,0
62,0.62,-1.0,451,200,0,94,0
61,0.61,-1.0,451,200,0,97,0
60,0.6,-1.0,451,200,0,98,0
59,0.59,-1.0,451,200,0,99,0
58,0.58,-1.0,451,200,0,99,0
57,0.5700000000000001,-1.0,451,200,0,99,0
56,0.56,-1.0,451,200,0,100,0
55,0.55,-1.0,451,200,0,99,0
54,0.54,-1.0,451,200,0,99,0
53,0.53,-1.0,451,200,0,98,0
52,0.52,-1.0,451,200,0,98,0
51,0.51,-1.0,451,200,0,97,0
50,0.5,-1.0,451,200,0,98,0
49,0.49,-1.0,451,200,0,97,0
48,0.48,-1.0,451,200,0,97,0
47,0.47000000000000003,-1.0,451,200,0,97,0
46,0.46,-1.0,451,200,0,97,0
45,0.45,-1.0,451,200,0,96,0
44,0.44,-1.0,451,200,0,88,0
43,0.43,-1.0,451,200,0,88,0
42,0.42,-1.0,451,200,0,88,0
41,0.41000000000000003,-1.0,451,200,0,88,0
40,0.4,-1.0,451,200,0,88,0
