r\IA,0,1,2,3,4,5,6,7,8,9,10
20,,1,1,1,1,1,1,1,2,3,3
19,,1,1,1,1,1,1,1,2,3,3
18,,1,1,1,1,1,1,1,2,3,3
17,,1,1,1,1,1,1,1,2,3,3
16,,1,1,1,1,1,1,1,2,3,3
15,,1,1,1,1,1,1,1,2,3,3
14,,1,1,1,1,1,1,1,2,3,3
13,,1,1,1,1,1,1,1,2,3,3
12,,1,1,1,1,1,1,1,2,3,3
11,,1,1,1,1,1,1,1,2,3,3
10,,1,1,1,1,1,1,1,2,3,3
9,,1,1,1,1,1,1,1,2,3,3
8,,1,1,1,1,1,1,1,2,3,3
7,,1,1,1,1,1,1,1,2,3,3
6,,1,1,1,1,1,1,1,2,3,3
5,,1,1,1,1,1,1,1,2,3,3
4,,,2,2,2,2,2,2,2,3,3
3,,,2,2,2,2,2,2,2,3,4
2,,,,3,3,3,3,3,3,3,4
1,,,,,,6,6,6,6,6,7

