r\IA,0,1,2,3,4,5,6,7,8,9,10
200,,,,,5,5,6,7,8,9,12
199,,,,,5,5,6,7,8,9,12
198,,,,,5,5,6,7,8,9,12
197,,,,,5,5,6,7,8,9,11
196,,,,,5,5,6,7,8,9,11
195,,,,,5,5,6,7,8,9,11
194,,,,4,5,5,6,7,8,9,11
193,,,,4,4,5,6,7,8,9,11
192,,,,4,4,5,6,7,8,9,11
191,,,,4,4,5,6,7,8,9,11
190,,,,4,4,5,6,7,8,9,11
189,,,,4,4,5,6,7,8,9,10
188,,,,4,4,5,6,7,8,9,10
187,,,,4,4,5,6,7,7,9,10
186,,,,4,4,5,6,7,7,9,10
185,,,,4,4,5,6,7,7,8,10
184,,,,4,4,5,6,6,7,8,10
183,,,,4,4,5,6,6,7,8,10
182,,,,4,4,5,6,6,7,8,10
181,,,,4,4,5,6,6,7,8,10
180,,,,4,4,5,6,6,7,8,10
179,,,,,4,5,5,6,7,8,10
178,,,,,4,5,5,6,7,8,10
177,,,,3,4,5,5,6,7,8,10
176,,,,3,4,5,5,6,7,8,10
175,,,,3,4,5,5,6,7,8,10
174,,,,3,4,5,5,6,7,8,10
173,,,,3,4,5,5,6,7,8,10
172,,,,3,4,5,5,6,7,8,10
171,,,,3,4,5,5,6,7,8,10
170,,,,3,4,4,5,6,7,8,10
169,,,,3,4,4,5,6,7,8,10
168,,,,3,4,4,5,6,7,8,10
167,,,,3,4,4,5,6,7,8,9
166,,,,3,4,4,5,6,7,8,9
165,,,,3,4,4,5,6,7,8,9
164,,,,3,4,4,5,6,7,8,9
163,,,,3,4,4,5,6,7,8,9
162,,,,3,4,4,5,6,6,7,9
161,,,,3,4,4,5,6,6,7,9
160,,,,3,4,4,5,6,6,7,9
159,,,,3,4,4,5,6,6,7,9
158,,,,3,4,4,5,6,6,7,9
157,,,,3,4,4,5,5,6,7,9
156,,,,3,4,4,5,5,6,7,9
155,,,,3,4,4,5,5,6,7,9
154,,,,3,3,4,5,5,6,7,9
153,,,,3,3,4,5,5,6,7,9
152,,,,3,3,4,5,5,6,7,9
151,,,,3,3,4,5,5,6,7,9
150,,,,3,3,4,5,5,6,7,9
149,,,,3,3,4,5,5,6,7,9
148,,,,3,3,4,4,5,6,7,9
147,,,,3,3,4,4,5,6,7,9
146,,,,3,3,4,4,5,6,7,8
145,,,,3,3,4,4,5,6,7,8
144,,,,3,3,4,4,5,6,7,8
143,,,,3,3,4,4,5,6,7,8
142,,,,3,3,4,4,5,6,7,8
141,,,,3,3,4,4,5,6,7,8
140,,,,3,3,4,4,5,6,7,8
139,,,,3,3,4,4,5,6,7,8
138,,,,3,3,4,4,5,6,6,8
137,,,2,3,3,4,4,5,6,6,8
136,,,2,3,3,4,4,5,5,6,8
135,,,2,3,3,4,4,5,5,6,8
134,,,2,3,3,4,4,5,5,6,8
133,,,2,3,3,4,4,5,5,6,8
132,,,2,3,3,3,4,5,5,6,8
131,,,2,3,3,3,4,5,5,6,8
130,,,2,3,3,3,4,5,5,6,8
129,,,2,3,3,3,4,5,5,6,8
128,,,2,3,3,3,4,4,5,6,8
127,,,2,3,3,3,4,4,5,6,8
126,,,2,3,3,3,4,4,5,6,8
125,,,2,3,3,3,4,4,5,6,7
124,,,2,3,3,3,4,4,5,6,7
123,,,2,3,3,3,4,4,5,6,7
122,,,2,3,3,3,4,4,5,6,7
121,,,2,3,3,3,4,4,5,6,7
120,,,2,3,3,3,4,4,5,6,7
119,,,2,3,3,3,4,4,5,6,7
118,,,2,3,3,3,4,4,5,6,7
117,,,2,3,3,3,4,4,5,6,7
116,,,2,3,3,3,4,4,5,6,7
115,,,2,3,3,3,4,4,5,6,7
114,,,2,3,3,3,4,4,5,5,7
