r\IA,0,1,2,3,4,5,6,7,8,9,10
113,,,2,3,3,3,4,4,5,5,7
112,,,2,3,3,3,3,4,5,5,7
111,,,2,2,3,3,3,4,5,5,7
110,,,2,2,3,3,3,4,5,5,7
109,,,2,2,3,3,3,4,4,5,7
108,,,2,2,3,3,3,4,4,5,7
107,,,2,2,3,3,3,4,4,5,7
106,,,2,2,3,3,3,4,4,5,7
105,,,2,2,3,3,3,4,4,5,7
104,,,2,2,3,3,3,4,4,5,6
103,,,2,2,3,3,3,4,4,5,6
102,,,2,2,3,3,3,4,4,5,6
101,,,2,2,3,3,3,4,4,5,6
100,,,2,2,3,3,3,4,4,5,6
99,,,2,2,3,3,3,4,4,5,6
98,,,2,2,3,3,3,4,4,5,6
97,,,2,2,3,3,3,4,4,5,6
96,,,2,2,3,3,3,4,4,5,6
95,,,2,2,3,3,3,3,4,5,6
94,,,2,2,3,3,3,3,4,5,6
93,,,2,2,3,3,3,3,4,5,6
92,,,2,2,3,3,3,3,4,5,6
91,,,2,2,3,3,3,3,4,5,6
90,,,2,2,2,3,3,3,4,4,6
89,,,2,2,2,3,3,3,4,4,6
88,,,2,2,2,3,3,3,4,4,6
87,,,2,2,2,3,3,3,4,4,6
86,,,2,2,2,3,3,3,4,4,6
85,,,2,2,2,3,3,3,4,4,6
84,,,2,2,2,3,3,3,4,4,5
83,,,2,2,2,3,3,3,4,4,5
82,,,2,2,2,3,3,3,4,4,5
81,,,2,2,2,3,3,3,4,4,5
80,,,2,2,2,3,3,3,3,4,5
79,,,2,2,2,3,3,3,3,4,5
78,,,2,2,2,3,3,3,3,4,5
77,,,2,2,2,3,3,3,3,4,5
76,,,2,2,2,3,3,3,3,4,5
75,,,2,2,2,2,3,3,3,4,5
74,,,2,2,2,2,3,3,3,4,5
73,,,2,2,2,2,3,3,3,4,5
72,,,2,2,2,2,3,3,3,4,5
71,,,2,2,2,2,3,3,3,4,5
70,,,2,2,2,2,3,3,3,4,5
69,,,2,2,2,2,3,3,3,4,5
68,,,2,2,2,2,3,3,3,4,5
67,,,2,2,2,2,3,3,3,4,5
66,,,2,2,2,2,3,3,3,3,4
65,,,2,2,2,2,3,3,3,3,4
64,,,2,2,2,2,2,3,3,3,4
63,,,2,2,2,2,2,3,3,3,4
62,,,2,2,2,2,2,3,3,3,4
61,,,2,2,2,2,2,3,3,3,4
60,,,2,2,2,2,2,3,3,3,4
59,,,2,2,2,2,2,3,3,3,4
58,,,2,2,2,2,2,3,3,3,4
57,,,2,2,2,2,2,3,3,3,4
56,,,2,2,2,2,2,3,3,3,4
55,,,2,2,2,2,2,2,3,3,4
54,,,2,2,2,2,2,2,3,3,4
53,,,2,2,2,2,2,2,3,3,4
52,,,2,2,2,2,2,2,3,3,4
51,,,2,2,2,2,2,2,3,3,4
50,,,2,2,2,2,2,2,3,3,4
49,,,2,2,2,2,2,2,3,3,4
48,,,2,2,2,2,2,2,3,3,3
47,,,2,2,2,2,2,2,2,3,3
46,,,2,2,2,2,2,2,2,3,3
45,,,2,2,2,2,2,2,2,3,3
44,,,2,2,2,2,2,2,2,3,3
43,,,2,2,2,2,2,2,2,3,3
42,,,2,2,2,2,2,2,2,3,3
41,,,2,2,2,2,2,2,2,3,3
40,,,2,2,2,2,2,2,2,3,3
39,,,2,2,2,2,2,2,2,2,3
38,,,2,2,2,2,2,2,2,2,3
37,,,2,2,2,2,2,2,2,2,3
36,,,2,2,2,2,2,2,2,2,3
35,,,2,2,2,2,2,2,2,2,3
34,,,2,2,2,2,2,2,2,2,3
33,,,2,2,2,2,2,2,2,2,3
32,,,2,2,2,2,2,2,2,2,3
31,,,2,2,2,2,2,2,2,2,3
30,,,2,2,2,2,2,2,2,2,3
29,,,2,2,2,2,2,2,2,2,3
28,,,2,2,2,2,2,2,2,2,2
27,,,2,2,2,2,2,2,2,2,2
26,,,2,2,2,2,2,2,2,2,2
25,,,2,2,2,2,2,2,2,2,2
24,,,2,2,2,2,2,2,2,2,2
23,,,2,2,2,2,2,2,2,2,2
22,,,2,2,2,2,2,2,2,2,2
21,,,2,2,2,2,2,2,2,2,2
20,,,2,2,2,2,2,2,2,2,2
19,,,2,2,2,2,2,2,2,2,2
18,,,2,2,2,2,2,2,2,2,2
17,,,2,2,2,2,2,2,2,2,2
16,,,2,2,2,2,2,2,2,2,2
15,,,2,3,3,2,2,2,2,2,3
14,,,2,3,3,3,2,2,2,2,3
13,,,2,3,3,3,3,3,2,3,3
12,,,,3,3,3,3,3,3,3,3
11,,,,3,3,3,3,3,3,3,3
10,,,,3,3,3,3,3,3,3,3
9,,,,3,3,3,3,3,3,3,3
8,,,,3,3,3,3,3,3,3,3
7,,,,3,4,3,3,3,3,3,3
6,,,,3,4,4,4,4,4,4,4
5,,,,3,4,4,4,4,4,4,4
4,,,,3,4,4,4,4,4,4,4
3,,,,3,4,4,4,4,4,4,4
2,,,,3,4,4,4,4,4,4,4
1,,1,2,3,4,4,4,4,4,4,4

